Experiment,Fold,psnr_roi,ssim_roi,mae,calibration_bias,variance_ratio,psnr_enh,ssim_enh,grad_enh,lpips,lpips_enh,sharpness_pred,sharpness_gt,sharpness_ratio,sharpness_ratio_enh
EXP-303_T1_T2_FLAIR_TO_T1CE,4,24.36689781599706,0.7443496898657781,0.1883163306850036,-0.0129038421735432,0.93934839129964,18.02178547671549,0.6028008521439624,1.2352027904959508,0.2585869871372354,0.0251560992232383,0.2917854196888088,0.5997624060068767,0.4931245301966553,0.5076720450878873
EXP-402_MULTI_ENCODER_STEP1_T1_T2_F,0,24.04138185158841,0.7446122866148517,0.197980652459509,-0.0471311988104066,0.9509874618701544,17.128461481222587,0.5898042267838466,1.2381186686797838,0.2363218343581958,0.0319169863594402,0.2779474773430939,0.5997624060068767,0.4695022695269551,0.4923874052228638
EXP-402_MULTI_ENCODER_STEP1_T1_T2_F,1,24.18432845492647,0.7468976646973418,0.1945339741231949,-0.0236710032226811,0.959672974878545,17.036918249112038,0.5832081121641264,1.2427174199658322,0.2408655849794066,0.0266372673766152,0.2854981496558131,0.5997624060068767,0.4850667274451834,0.4633467124906311
EXP-402_MULTI_ENCODER_STEP1_T1_T2_F,2,24.226176833047617,0.74677698774068,0.1925310536717283,-0.0293616785186811,0.9563892829676718,17.866135132991744,0.6062845552704521,1.2315007387627446,0.2533190119751831,0.0266399801229677,0.2943884706989534,0.5997624060068767,0.4967760015966814,0.5071596865500415
EXP-402_MULTI_ENCODER_STEP1_T1_T2_F,3,24.35005998850415,0.7455121161296487,0.1891814948991289,-0.0264139354540786,0.9132733029180752,17.53998649353427,0.5981184053265697,1.2341726969525644,0.2373746147528815,0.026227517045393,0.2775693087322928,0.5997624060068767,0.470279563161905,0.4849306471618131
EXP-402_MULTI_ENCODER_STEP1_T1_T2_F,4,24.356846641308685,0.747700161655582,0.1896766745195004,-0.0347313734519421,0.9065654102459332,17.189822921966638,0.5942413321149823,1.2141929986353246,0.2439962166695382,0.0243757845358577,0.27290339033645,0.5997624060068767,0.4637565718597917,0.4418744590249351
EXP-500_GUIDED_RESATTENTION_T1T2F,0,24.388037811004388,0.7461611325047577,0.1918238306841247,-0.0475627955720826,0.9450239699134628,17.372171896960495,0.5868216472619783,1.2221605091999437,0.2645309953641865,0.0300229781534331,0.280752344712376,0.5997624060068767,0.4742505973834263,0.4831167128951043
EXP-500_GUIDED_RESATTENTION_T1T2F,1,24.317713722324203,0.745690160756473,0.1901098935359828,-0.0235449351956754,0.8778804988775478,17.346674182782724,0.5892729580933231,1.2294796848413991,0.2597462423677006,0.0257439403295636,0.2905764708827933,0.5997624060068767,0.4956574943367233,0.4962007650716803
EXP-500_GUIDED_RESATTENTION_T1T2F,2,24.43990750475596,0.7465636730169807,0.1872181857161571,-0.0307348957562136,0.9208239678189432,17.555266379530508,0.5963895651871397,1.223871515193209,0.2618385527773398,0.0285620052459454,0.2903552867127374,0.5997624060068767,0.4926611258202493,0.510488734663231
EXP-500_GUIDED_RESATTENTION_T1T2F,3,24.34474166589058,0.7444180475021702,0.1913743830116998,-0.054448365829676,0.8810449996752261,16.94301658883017,0.5807258712960548,1.2303865230203372,0.2564840141481758,0.0292961987153344,0.2864902865940318,0.5997624060068767,0.4884293004307557,0.5031562101112421
